Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,13
design__inferred_latch__count,0
design__instance__count,6030
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00020528356253635138
power__switching__total,0.00004031751450384036
power__leakage__total,0.000002176029283873504
power__total,0.0002477771195117384
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.28232167402985103
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.283631959280571
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11613288437393245
timing__setup__ws__corner:nom_fast_1p32V_m40C,9.443138094317668
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.116133
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,10.042882
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3054495354216111
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.306343903359968
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6205802714029078
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.08676082320375068
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-0.45751137506787626
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.08676082320375068
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.620580
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,6
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-0.086761
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,6
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.29075204178346675
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2918914081947118
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2998021915581081
timing__setup__ws__corner:nom_typ_1p20V_25C,6.3038696047461595
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.299802
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,6.303870
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.28232167402985103
clock__skew__worst_setup,0.283631959280571
timing__hold__ws,0.11613288437393245
timing__setup__ws,-0.08676082320375068
timing__hold__tns,0.0
timing__setup__tns,-0.45751137506787626
timing__hold__wns,0
timing__setup__wns,-0.08676082320375068
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116133
timing__hold_r2r_vio__count,0
timing__setup_vio__count,6
timing__setup_r2r__ws,-0.086761
timing__setup_r2r_vio__count,6
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2359
design__instance__area__stdcell,27412
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.456035
design__instance__utilization__stdcell,0.456035
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,96
design__instance__area__class:inverter,522.547
design__instance__count__class:sequential_cell,108
design__instance__area__class:sequential_cell,5290.79
design__instance__count__class:multi_input_combinational_cell,1787
design__instance__area__class:multi_input_combinational_cell,17592.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,1041.01
design__instance__displacement__mean,0.441
design__instance__displacement__max,9.96
route__wirelength__estimated,58054.3
design__violations,0
design__instance__count__class:timing_repair_buffer,296
design__instance__area__class:timing_repair_buffer,3282.25
design__instance__count__class:clock_buffer,17
design__instance__area__class:clock_buffer,422.755
design__instance__count__class:clock_inverter,54
design__instance__area__class:clock_inverter,293.933
flow__warnings__count:CTS-0041,41
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,125
global_route__vias,14795
global_route__wirelength,96904
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2365
route__net__special,2
route__drc_errors__iter:0,835
route__wirelength__iter:0,64819
route__drc_errors__iter:1,475
route__wirelength__iter:1,64162
route__drc_errors__iter:2,467
route__wirelength__iter:2,64056
route__drc_errors__iter:3,5
route__wirelength__iter:3,63801
route__drc_errors__iter:4,0
route__wirelength__iter:4,63813
route__drc_errors,0
route__wirelength,63813
route__vias,15462
route__vias__singlecut,15462
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,335.4
design__instance__count__class:fill_cell,3671
design__instance__area__class:fill_cell,32697.3
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,27
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,27
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,27
