Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,5454
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,23
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.000999515294097364
power__switching__total,0.00017751786799635738
power__leakage__total,0.0000014094252946961205
power__total,0.0011784426169469953
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25702465883123043
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25909980450082204
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11106274547725659
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.239508641920757
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.111063
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,23
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26019989677146027
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2603612676926534
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6189414711499102
timing__setup__ws__corner:nom_slow_1p08V_125C,11.966946883265264
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.618941
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.636088
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,23
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2582683584541654
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25904912281831455
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2931054371064745
timing__setup__ws__corner:nom_typ_1p20V_25C,13.408613265899865
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.293105
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,23
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25702465883123043
clock__skew__worst_setup,0.25904912281831455
timing__hold__ws,0.11106274547725659
timing__setup__ws,11.966946883265264
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111063
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.636088
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2858
design__instance__area__stdcell,42603.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.708775
design__instance__utilization__stdcell,0.708775
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,6
design__instance__area__class:buffer,43.5456
design__instance__count__class:inverter,100
design__instance__area__class:inverter,544.32
design__instance__count__class:sequential_cell,307
design__instance__area__class:sequential_cell,15039.6
design__instance__count__class:multi_input_combinational_cell,1832
design__instance__area__class:multi_input_combinational_cell,18164
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,3860.6
design__instance__displacement__mean,1.35
design__instance__displacement__max,16.74
route__wirelength__estimated,59516.7
design__violations,0
design__instance__count__class:timing_repair_buffer,569
design__instance__area__class:timing_repair_buffer,7840.02
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,887.242
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,85.2768
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,409
global_route__vias,16590
global_route__wirelength,104169
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2861
route__net__special,2
route__drc_errors__iter:0,760
route__wirelength__iter:0,65601
route__drc_errors__iter:1,315
route__wirelength__iter:1,65251
route__drc_errors__iter:2,248
route__wirelength__iter:2,65123
route__drc_errors__iter:3,0
route__wirelength__iter:3,65022
route__drc_errors,0
route__wirelength,65022
route__vias,16403
route__vias__singlecut,16403
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,315.995
design__instance__count__class:fill_cell,2596
design__instance__area__class:fill_cell,17505.3
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,32
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,32
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,32
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,32
timing__unannotated_net_filtered__count,0
