Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,5373
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,21
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001167896087281406
power__switching__total,0.0002974928356707096
power__leakage__total,0.0000017158117771032266
power__total,0.0014671047683805227
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25634797787858354
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2605715994506172
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11618714652579565
timing__setup__ws__corner:nom_fast_1p32V_m40C,9.607960921036607
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.116187
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,21
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26186017984059196
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2664241402904499
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6318756807749002
timing__setup__ws__corner:nom_slow_1p08V_125C,6.4553964001461495
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.631876
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,21
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2582501507960466
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26263347795468933
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3017929880310183
timing__setup__ws__corner:nom_typ_1p20V_25C,8.460237194715027
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.301793
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,21
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25634797787858354
clock__skew__worst_setup,0.2605715994506172
timing__hold__ws,0.11618714652579565
timing__setup__ws,6.4553964001461495
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116187
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2489
design__instance__area__stdcell,37460.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.6232
design__instance__utilization__stdcell,0.6232
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:inverter,83
design__instance__area__class:inverter,451.786
design__instance__count__class:sequential_cell,282
design__instance__area__class:sequential_cell,13755
design__instance__count__class:multi_input_combinational_cell,1499
design__instance__area__class:multi_input_combinational_cell,14484.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,3792.36
design__instance__displacement__mean,1.523
design__instance__displacement__max,42.36
route__wirelength__estimated,72754.3
design__violations,0
design__instance__count__class:timing_repair_buffer,581
design__instance__area__class:timing_repair_buffer,7800.11
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,863.654
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,105.235
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,395
global_route__vias,16570
global_route__wirelength,119469
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2490
route__net__special,2
route__drc_errors__iter:0,938
route__wirelength__iter:0,81248
route__drc_errors__iter:1,579
route__wirelength__iter:1,80818
route__drc_errors__iter:2,414
route__wirelength__iter:2,80618
route__drc_errors__iter:3,0
route__wirelength__iter:3,80432
route__drc_errors,0
route__wirelength,80432
route__vias,16612
route__vias__singlecut,16612
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,481.855
design__instance__count__class:fill_cell,2884
design__instance__area__class:fill_cell,22649.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,19
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19931
