Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,10755
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,22
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.005137000232934952
power__switching__total,0.004017756786197424
power__leakage__total,0.00000520881985721644
power__total,0.009159966371953487
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2610988721354996
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26133596026911365
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10870910035406124
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.729091252452621
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.108709
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.403280
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,22
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26919070512375715
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2692495469457264
timing__hold__ws__corner:nom_slow_1p08V_125C,0.615095547461536
timing__setup__ws__corner:nom_slow_1p08V_125C,13.256898176669573
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.615096
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.142941
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,22
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2639870341490179
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26406974576669173
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29323438951443176
timing__setup__ws__corner:nom_typ_1p20V_25C,14.184978926301062
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.293234
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.227343
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,22
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2610988721354996
clock__skew__worst_setup,0.26133596026911365
timing__hold__ws,0.10870910035406124
timing__setup__ws,13.256898176669573
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108709
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.142941
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3565
design__instance__area__stdcell,50752.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.400619
design__instance__utilization__stdcell,0.400619
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,121
design__instance__area__class:inverter,658.627
design__instance__count__class:sequential_cell,292
design__instance__area__class:sequential_cell,14304.7
design__instance__count__class:multi_input_combinational_cell,2514
design__instance__area__class:multi_input_combinational_cell,26334.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,6711.68
design__instance__displacement__mean,1.882
design__instance__displacement__max,22.92
route__wirelength__estimated,63873.5
design__violations,0
design__instance__count__class:timing_repair_buffer,589
design__instance__area__class:timing_repair_buffer,8438.77
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,887.242
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,99.792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,459
global_route__vias,21361
global_route__wirelength,115365
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3566
route__net__special,2
route__drc_errors__iter:0,706
route__wirelength__iter:0,69412
route__drc_errors__iter:1,170
route__wirelength__iter:1,68674
route__drc_errors__iter:2,207
route__wirelength__iter:2,68535
route__drc_errors__iter:3,0
route__wirelength__iter:3,68513
route__drc_errors,0
route__wirelength,68513
route__vias,20743
route__vias__singlecut,20743
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,314.83
design__instance__count__class:fill_cell,7190
design__instance__area__class:fill_cell,75932.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,31
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,31
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,31
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,31
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19575
