Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,2745
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00010279689013259485
power__switching__total,0.00001642553979763761
power__leakage__total,0.0000011069354286519228
power__total,0.00012032936501782387
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.27726360880890943
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26962477458308626
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11895640365001373
timing__setup__ws__corner:nom_fast_1p32V_m40C,27.376924613300982
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.118956
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,37.563892
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27515018819946135
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2662609930123671
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6389299825617265
timing__setup__ws__corner:nom_slow_1p08V_125C,21.703031097680867
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.638930
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,34.968929
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27646991034615753
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2683529030501047
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3013020196400679
timing__setup__ws__corner:nom_typ_1p20V_25C,25.251804917377754
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.301302
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,36.625340
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27515018819946135
clock__skew__worst_setup,0.2662609930123671
timing__hold__ws,0.11895640365001373
timing__setup__ws,21.703031097680867
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118956
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,34.968929
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,966
design__instance__area__stdcell,12452.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.430255
design__instance__utilization__stdcell,0.430255
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,33
design__instance__area__class:inverter,179.626
design__instance__count__class:sequential_cell,53
design__instance__area__class:sequential_cell,2596.41
design__instance__count__class:multi_input_combinational_cell,737
design__instance__area__class:multi_input_combinational_cell,7439.04
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,746.865
design__instance__displacement__mean,0.773
design__instance__displacement__max,10.02
route__wirelength__estimated,18471.8
design__violations,0
design__instance__count__class:timing_repair_buffer,129
design__instance__area__class:timing_repair_buffer,1798.07
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,408.24
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,16.3296
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,95
global_route__vias,5836
global_route__wirelength,31874
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,982
route__net__special,2
route__drc_errors__iter:0,181
route__wirelength__iter:0,19980
route__drc_errors__iter:1,50
route__wirelength__iter:1,19834
route__drc_errors__iter:2,59
route__wirelength__iter:2,19797
route__drc_errors__iter:3,1
route__wirelength__iter:3,19769
route__drc_errors__iter:4,1
route__wirelength__iter:4,19769
route__drc_errors__iter:5,0
route__wirelength__iter:5,19768
route__drc_errors,0
route__wirelength,19768
route__vias,5688
route__vias__singlecut,5688
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,205.54
design__instance__count__class:fill_cell,1779
design__instance__area__class:fill_cell,16489.3
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
