Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2349
design__instance__area,28914.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00010316092811990529
power__switching__total,0.00004153595000389032
power__leakage__total,0.0000014616252883570269
power__total,0.00014615850523114204
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2000001332267667
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.19999999444888472
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.25934521930735627
timing__setup__ws__corner:nom_fast_1p32V_m40C,19.25928804281997
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.259345
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,19.259289
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.20000002220446111
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.19999999444888472
timing__hold__ws__corner:nom_slow_1p08V_125C,0.8827591130161552
timing__setup__ws__corner:nom_slow_1p08V_125C,18.499268418517232
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.882759
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,18.499268
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.20000006383782573
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.19999999444888472
timing__hold__ws__corner:nom_typ_1p20V_25C,0.4854471406704792
timing__setup__ws__corner:nom_typ_1p20V_25C,18.988780862951955
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.485447
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,18.988781
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.20000002220446111
clock__skew__worst_setup,0.19999999444888472
timing__hold__ws,0.25934521930735627
timing__setup__ws,18.499268418517232
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.259345
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,18.499268
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,325
design__instance__area__stdcell,5238.17
design__instance__count__macros,2
design__instance__area__macros,171.946
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,1
design__instance__area__cover,268.96
design__instance__utilization,0.186933
design__instance__utilization__stdcell,0.182074
design__rows,45
design__rows:CoreSite,45
design__sites,15693
design__sites:CoreSite,15693
design__instance__count__class:macro,2
design__instance__area__class:macro,171.946
design__instance__count__class:cover,1
design__instance__area__class:cover,268.96
design__instance__count__class:inverter,128
design__instance__area__class:inverter,696.73
design__instance__count__class:sequential_cell,64
design__instance__area__class:sequential_cell,3135.28
design__instance__count__class:multi_input_combinational_cell,93
design__instance__area__class:multi_input_combinational_cell,1124.93
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__count:ORD-2011,3
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PSM-0038,3
flow__warnings__count:PSM-0039,2
design__power_grid_violation__count__net:VGND,388
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,388
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,51.9
design__instance__displacement__mean,0.158
design__instance__displacement__max,8.52
route__wirelength__estimated,6240.34
design__violations,0
design__instance__count__class:timing_repair_buffer,30
design__instance__area__class:timing_repair_buffer,226.8
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.4432
flow__warnings__count:CTS-0041,7
flow__warnings__count:CTS-0082,1
flow__warnings__count:CTS-0083,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
global_route__vias,1824
global_route__wirelength,10735
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,48.9888
antenna_diodes_count,0
route__net,337
route__net__special,2
route__drc_errors__iter:0,20
route__wirelength__iter:0,6597
route__drc_errors__iter:1,2
route__wirelength__iter:1,6604
route__drc_errors__iter:2,3
route__wirelength__iter:2,6613
route__drc_errors__iter:3,0
route__wirelength__iter:3,6616
route__drc_errors,0
route__wirelength,6616
route__vias,1653
route__vias__singlecut,1653
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,223.57
design__instance__count__class:fill_cell,2021
design__instance__area__class:fill_cell,23235.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,10
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,10
