Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2335
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0012055441038683057
power__switching__total,0.0004718750424217433
power__leakage__total,5.867482855137496E-7
power__total,0.0016780059086158872
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2733240933169124
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2726056124662062
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1298899080613185
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.193726262737172
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.129890
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.594465
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2702398659117002
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2687707632528159
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6669698315758318
timing__setup__ws__corner:nom_slow_1p08V_125C,10.416250379279951
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.666970
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.672967
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27237193826848943
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2715437951354244
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3225152458605611
timing__setup__ws__corner:nom_typ_1p20V_25C,10.905204159472884
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.322515
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,18.019993
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2702398659117002
clock__skew__worst_setup,0.2687707632528159
timing__hold__ws,0.1298899080613185
timing__setup__ws,10.416250379279951
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.129890
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.672967
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1499
design__instance__area__stdcell,23964.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.828036
design__instance__utilization__stdcell,0.828036
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,75
design__instance__area__class:inverter,408.24
design__instance__count__class:sequential_cell,165
design__instance__area__class:sequential_cell,8083.15
design__instance__count__class:multi_input_combinational_cell,841
design__instance__area__class:multi_input_combinational_cell,8834.31
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,9789.8
design__instance__displacement__mean,6.53
design__instance__displacement__max,134.58
route__wirelength__estimated,43365
design__violations,0
design__instance__count__class:timing_repair_buffer,363
design__instance__area__class:timing_repair_buffer,4730.14
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,27.216
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,231
global_route__vias,10629
global_route__wirelength,73101
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1513
route__net__special,2
route__drc_errors__iter:0,581
route__wirelength__iter:0,48420
route__drc_errors__iter:1,296
route__wirelength__iter:1,48024
route__drc_errors__iter:2,198
route__wirelength__iter:2,47942
route__drc_errors__iter:3,16
route__wirelength__iter:3,47855
route__drc_errors__iter:4,4
route__wirelength__iter:4,47854
route__drc_errors__iter:5,0
route__wirelength__iter:5,47854
route__drc_errors,0
route__wirelength,47854
route__vias,10097
route__vias__singlecut,10097
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,391.92
design__instance__count__class:fill_cell,836
design__instance__area__class:fill_cell,4976.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,8
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,8
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,8
