Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4980
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,13
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0015512729296460748
power__switching__total,0.0012443801388144493
power__leakage__total,0.000002373621327933506
power__total,0.0027980266604572535
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25994412913492865
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2580317421653502
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12135010006995516
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.242875726405067
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.121350
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.057985
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,13
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.265082824305314
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2600459365891661
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6296029986680654
timing__setup__ws__corner:nom_slow_1p08V_125C,10.865108231759951
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.629603
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,10.865108
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,13
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26180580666642317
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2584503517686242
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3051251004890644
timing__setup__ws__corner:nom_typ_1p20V_25C,13.420578805908473
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.305125
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,14.127004
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25994412913492865
clock__skew__worst_setup,0.2580317421653502
timing__hold__ws,0.12135010006995516
timing__setup__ws,10.865108231759951
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121350
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.865108
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,1562
design__instance__area__stdcell,25407
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.422681
design__instance__utilization__stdcell,0.422681
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,43
design__instance__area__class:inverter,234.058
design__instance__count__class:sequential_cell,210
design__instance__area__class:sequential_cell,10287.6
design__instance__count__class:multi_input_combinational_cell,959
design__instance__area__class:multi_input_combinational_cell,10182.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2760.18
design__instance__displacement__mean,1.767
design__instance__displacement__max,62.649
route__wirelength__estimated,39868.4
design__violations,0
design__instance__count__class:timing_repair_buffer,319
design__instance__area__class:timing_repair_buffer,4084.21
design__instance__count__class:clock_buffer,19
design__instance__area__class:clock_buffer,513.475
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,83.4624
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,195
global_route__vias,9528
global_route__wirelength,64879
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1569
route__net__special,2
route__drc_errors__iter:0,476
route__wirelength__iter:0,43199
route__drc_errors__iter:1,200
route__wirelength__iter:1,42846
route__drc_errors__iter:2,163
route__wirelength__iter:2,42807
route__drc_errors__iter:3,8
route__wirelength__iter:3,42729
route__drc_errors__iter:4,0
route__wirelength__iter:4,42726
route__drc_errors,0
route__wirelength,42726
route__vias,9656
route__vias__singlecut,9656
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,273.6
design__instance__count__class:fill_cell,3418
design__instance__area__class:fill_cell,34702.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,14
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,14
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,14
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,14
timing__unannotated_net_filtered__count,0
