Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,2495
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0007501287618651986
power__switching__total,0.00013939346536062658
power__leakage__total,4.4576458435585664E-7
power__total,0.000889968010596931
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2663508933243287
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26673242147753146
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.14059329098868584
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.027358338591165
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.140593
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26679090247700754
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2675386932163928
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6976563968443464
timing__setup__ws__corner:nom_slow_1p08V_125C,11.560146056504358
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.697656
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.700334
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2662282414322144
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26659558648587645
timing__hold__ws__corner:nom_typ_1p20V_25C,0.34359560613682455
timing__setup__ws__corner:nom_typ_1p20V_25C,13.101966105112144
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.343596
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2662282414322144
clock__skew__worst_setup,0.26659558648587645
timing__hold__ws,0.14059329098868584
timing__setup__ws,11.560146056504358
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.140593
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.700334
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1848
design__instance__area__stdcell,26199.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.905272
design__instance__utilization__stdcell,0.905272
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:inverter,74
design__instance__area__class:inverter,402.797
design__instance__count__class:sequential_cell,163
design__instance__area__class:sequential_cell,7985.17
design__instance__count__class:multi_input_combinational_cell,1239
design__instance__area__class:multi_input_combinational_cell,11795.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,18560
design__instance__displacement__mean,10.048
design__instance__displacement__max,193.38
route__wirelength__estimated,56449.7
design__violations,0
design__instance__count__class:timing_repair_buffer,319
design__instance__area__class:timing_repair_buffer,4120.5
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,16.3296
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,199
global_route__vias,4386
global_route__wirelength,87602
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
route__net,1863
route__net__special,2
route__drc_errors__iter:0,730
route__wirelength__iter:0,63116
route__drc_errors__iter:1,386
route__wirelength__iter:1,62861
route__drc_errors__iter:2,355
route__wirelength__iter:2,62736
route__drc_errors__iter:3,0
route__wirelength__iter:3,62591
route__drc_errors,0
route__wirelength,62591
route__vias,12272
route__vias__singlecut,12272
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,391.325
design__instance__count__class:fill_cell,647
design__instance__area__class:fill_cell,2741.56
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,10
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,10
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,10
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,10
timing__unannotated_net_filtered__count,0
