Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,25
design__inferred_latch__count,0
design__instance__count,4325
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,28
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0013252916978672147
power__switching__total,0.0002220359892817214
power__leakage__total,0.0000012017451354040531
power__total,0.0015485294861719012
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2686896614585733
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26143643545568385
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1281289555165818
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.614763146678563
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.128129
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,15.832154
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,28
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27664807339107306
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2680233055803474
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6570593144439243
timing__setup__ws__corner:nom_slow_1p08V_125C,9.243820193158827
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.657059
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,9.243820
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,28
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2718611801515654
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2628263236995208
timing__hold__ws__corner:nom_typ_1p20V_25C,0.32153830508241243
timing__setup__ws__corner:nom_typ_1p20V_25C,13.1678778275022
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.321538
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,13.167878
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,28
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2686896614585733
clock__skew__worst_setup,0.26143643545568385
timing__hold__ws,0.1281289555165818
timing__setup__ws,9.243820193158827
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128129
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.243820
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2696
design__instance__area__stdcell,49237.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.819131
design__instance__utilization__stdcell,0.819131
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,6
design__instance__area__class:buffer,43.5456
design__instance__count__class:inverter,49
design__instance__area__class:inverter,266.717
design__instance__count__class:sequential_cell,434
design__instance__area__class:sequential_cell,21261.1
design__instance__count__class:multi_input_combinational_cell,1406
design__instance__area__class:multi_input_combinational_cell,16605.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,15409.5
design__instance__displacement__mean,5.715
design__instance__displacement__max,93.24
route__wirelength__estimated,93851.1
design__violations,0
design__instance__count__class:timing_repair_buffer,744
design__instance__area__class:timing_repair_buffer,9881.22
design__instance__count__class:clock_buffer,39
design__instance__area__class:clock_buffer,1028.76
design__instance__count__class:clock_inverter,18
design__instance__area__class:clock_inverter,150.595
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,494
global_route__vias,20258
global_route__wirelength,153410
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2691
route__net__special,2
route__drc_errors__iter:0,1233
route__wirelength__iter:0,105710
route__drc_errors__iter:1,530
route__wirelength__iter:1,105170
route__drc_errors__iter:2,451
route__wirelength__iter:2,104900
route__drc_errors__iter:3,2
route__wirelength__iter:3,104699
route__drc_errors__iter:4,0
route__wirelength__iter:4,104704
route__drc_errors,0
route__wirelength,104704
route__vias,19719
route__vias__singlecut,19719
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,387.305
design__instance__count__class:fill_cell,1629
design__instance__area__class:fill_cell,10871.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,39
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,39
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,39
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,39
timing__unannotated_net_filtered__count,0
