Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,59
design__inferred_latch__count,0
design__instance__count,4525
design__instance__area,56351
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,23
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0019441945478320122
power__switching__total,0.0012711916351690888
power__leakage__total,0.0000010138256811842439
power__total,0.003216399811208248
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2748206184852805
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2732418812996138
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11855211592416244
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.649243899241041
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.118552
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,23
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2857103801081779
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2853824202174283
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6368742935511916
timing__setup__ws__corner:nom_slow_1p08V_125C,8.971747154692597
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.636874
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,8.971747
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,23
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27834696446697804
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2774584529552417
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30989589549425967
timing__setup__ws__corner:nom_typ_1p20V_25C,12.502474076569198
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.309896
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,12.980483
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,23
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2748206184852805
clock__skew__worst_setup,0.2732418812996138
timing__hold__ws,0.11855211592416244
timing__setup__ws,8.971747154692597
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118552
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.971747
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2879
design__instance__area__stdcell,44574.4
design__instance__count__macros,2
design__instance__area__macros,2325.44
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.780243
design__instance__utilization__stdcell,0.771399
design__rows,108
design__rows:CoreSite,108
design__sites,29776
design__sites:CoreSite,29776
design__instance__count__class:macro,2
design__instance__area__class:macro,2325.44
design__instance__count__class:inverter,102
design__instance__area__class:inverter,555.206
design__instance__count__class:sequential_cell,334
design__instance__area__class:sequential_cell,16362.3
design__instance__count__class:multi_input_combinational_cell,1733
design__instance__area__class:multi_input_combinational_cell,18347.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__count:ORD-2011,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,12923.7
design__instance__displacement__mean,4.487
design__instance__displacement__max,123.84
route__wirelength__estimated,98709.9
design__violations,0
design__instance__count__class:timing_repair_buffer,660
design__instance__area__class:timing_repair_buffer,8300.88
design__instance__count__class:clock_buffer,32
design__instance__area__class:clock_buffer,863.654
design__instance__count__class:clock_inverter,17
design__instance__area__class:clock_inverter,139.709
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,387
global_route__vias,15
global_route__wirelength,160228
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,2877
route__net__special,2
route__drc_errors__iter:0,61
route__wirelength__iter:0,109611
route__drc_errors__iter:1,7
route__wirelength__iter:1,109599
route__drc_errors__iter:2,3
route__wirelength__iter:2,109592
route__drc_errors__iter:3,0
route__wirelength__iter:3,109596
route__drc_errors__iter:4,0
route__wirelength__iter:4,109588
route__drc_errors,0
route__wirelength,109596
route__vias,21033
route__vias__singlecut,21033
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,424.345
design__instance__count__class:fill_cell,1644
design__instance__area__class:fill_cell,9451.21
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
