Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,6074
design__instance__area,115358
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,27
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002065864857286215
power__switching__total,0.0018878664122894406
power__leakage__total,0.0000012335843848632067
power__total,0.003954964689910412
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3038662463214147
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.30892350663064067
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11916129531500304
timing__setup__ws__corner:nom_fast_1p32V_m40C,17.73645103211331
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.119161
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,22.782806
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,1
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,27
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.31379019715230005
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.33581302578082267
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6237360249285044
timing__setup__ws__corner:nom_slow_1p08V_125C,14.632841130744419
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.623736
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.760892
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,27
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.30824579872166696
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.32273487573661913
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30293052257422093
timing__setup__ws__corner:nom_typ_1p20V_25C,16.597347965777153
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302931
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,21.758215
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,1
design__max_fanout_violation__count,27
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3038662463214147
clock__skew__worst_setup,0.30892350663064067
timing__hold__ws,0.11916129531500304
timing__setup__ws,14.632841130744419
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119161
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.760892
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3897
design__instance__area__stdcell,55230.3
design__instance__count__macros,1
design__instance__area__macros,49419.2
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.826061
design__instance__utilization__stdcell,0.71481
design__rows,126
design__rows:CoreSite,126
design__sites,36342
design__sites:CoreSite,36342
design__instance__count__class:macro,1
design__instance__area__class:macro,49419.2
design__instance__count__class:buffer,6
design__instance__area__class:buffer,43.5456
design__instance__count__class:inverter,125
design__instance__area__class:inverter,680.4
design__instance__count__class:sequential_cell,357
design__instance__area__class:sequential_cell,17489
design__instance__count__class:multi_input_combinational_cell,2741
design__instance__area__class:multi_input_combinational_cell,27098.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:STA-1140,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,9798.64
design__instance__displacement__mean,2.513
design__instance__displacement__max,91.297
route__wirelength__estimated,98570
design__violations,0
design__instance__count__class:timing_repair_buffer,608
design__instance__area__class:timing_repair_buffer,8513.16
design__instance__count__class:clock_buffer,43
design__instance__area__class:clock_buffer,1253.75
design__instance__count__class:clock_inverter,17
design__instance__area__class:clock_inverter,152.41
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,452
global_route__vias,24027
global_route__wirelength,157219
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3903
route__net__special,2
route__drc_errors__iter:0,992
route__wirelength__iter:0,105948
route__drc_errors__iter:1,302
route__wirelength__iter:1,105206
route__drc_errors__iter:2,271
route__wirelength__iter:2,104983
route__drc_errors__iter:3,2
route__wirelength__iter:3,104899
route__drc_errors__iter:4,0
route__wirelength__iter:4,104899
route__drc_errors,0
route__wirelength,104899
route__vias,22794
route__vias__singlecut,22794
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,596.64
design__instance__count__class:fill_cell,2176
design__instance__area__class:fill_cell,10708.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,28
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,28
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,28
