Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,26
design__inferred_latch__count,0
design__instance__count,44836
design__instance__area,732738
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,310
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,511
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,21
power__internal__total,0.009869907982647419
power__switching__total,0.003190722782164812
power__leakage__total,0.0000126603918033652
power__total,0.013073291629552841
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.37190110377266006
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3891127807879009
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.08314255075301434
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.1835190940046956
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.083143
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,2.677137
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,4017
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,511
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,20
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3940737570025932
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3896859334405735
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5956549866390206
timing__setup__ws__corner:nom_slow_1p08V_125C,-6.934550907557388
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-1194.458866069241
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-6.934550907557388
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.595655
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,506
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-6.934551
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,505
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,944
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,511
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,20
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3806274569930119
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3815798063304697
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2668983998244071
timing__setup__ws__corner:nom_typ_1p20V_25C,0.7891252319394741
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.266898
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,0.811003
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,4017
design__max_fanout_violation__count,511
design__max_cap_violation__count,21
clock__skew__worst_hold,-0.37190110377266006
clock__skew__worst_setup,0.3815798063304697
timing__hold__ws,0.08314255075301434
timing__setup__ws,-6.934550907557388
timing__hold__tns,0.0
timing__setup__tns,-1194.458866069241
timing__hold__wns,0
timing__setup__wns,-6.934550907557388
timing__hold_vio__count,0
timing__hold_r2r__ws,0.083143
timing__hold_r2r_vio__count,0
timing__setup_vio__count,506
timing__setup_r2r__ws,-6.934551
timing__setup_r2r_vio__count,505
design__die__bbox,0.0 0.0 1071.84 710.64
design__core__bbox,2.88 3.78 1068.96 706.86
design__io,45
design__die__area,761692
design__core__area,749540
design__instance__count__stdcell,26897
design__instance__area__stdcell,389445
design__instance__count__macros,8
design__instance__area__macros,230356
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.826909
design__instance__utilization__stdcell,0.75011
design__rows,186
design__rows:CoreSite,186
design__sites,276886
design__sites:CoreSite,276886
design__instance__count__class:macro,8
design__instance__area__class:macro,230356
design__instance__count__class:buffer,42
design__instance__area__class:buffer,304.819
design__instance__count__class:inverter,798
design__instance__area__class:inverter,4369.08
design__instance__count__class:sequential_cell,3756
design__instance__area__class:sequential_cell,151742
design__instance__count__class:multi_input_combinational_cell,16533
design__instance__area__class:multi_input_combinational_cell,166099
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__count:STA-1140,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PSM-0038,1001
flow__warnings__count:PSM-0039,14
design__power_grid_violation__count__net:VGND,538495
design__power_grid_violation__count__net:VPWR,545029
design__power_grid_violation__count,1083524
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,90657.2
design__instance__displacement__mean,3.395
design__instance__displacement__max,221.76
route__wirelength__estimated,1.51885E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,5302
design__instance__area__class:timing_repair_buffer,59633.9
design__instance__count__class:clock_buffer,214
design__instance__area__class:clock_buffer,5766.16
design__instance__count__class:clock_inverter,85
design__instance__area__class:clock_inverter,696.73
flow__warnings__count:CTS-0041,4
design__instance__count__setup_buffer,50
design__instance__count__hold_buffer,59
flow__warnings__count:RSZ-0062,1
global_route__vias,77
global_route__wirelength,2481883
flow__warnings__count:GRT-0115,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,52
design__instance__count__class:antenna_cell,209
design__instance__area__class:antenna_cell,1137.63
flow__warnings__count:GRT-0273,1
route__net,26854
route__net__special,2
route__drc_errors__iter:0,204
route__wirelength__iter:0,1866674
route__drc_errors__iter:1,51
route__wirelength__iter:1,1866551
route__drc_errors__iter:2,49
route__wirelength__iter:2,1866554
route__drc_errors__iter:3,12
route__wirelength__iter:3,1866559
route__drc_errors__iter:4,1
route__wirelength__iter:4,1866556
route__drc_errors__iter:5,1
route__wirelength__iter:5,1866556
route__drc_errors__iter:6,0
route__wirelength__iter:6,1866554
route__drc_errors__iter:7,14
route__wirelength__iter:7,1866523
route__drc_errors__iter:8,0
