Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,4911
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,26
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00216949125751853
power__switching__total,0.0010506939142942429
power__leakage__total,0.0000010833047099367832
power__total,0.003221268532797694
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26248814975665574
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26256159101181176
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12381812592349742
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.466388940668459
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.123818
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.181479
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,26
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2688858933837256
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2688264409390755
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6492194743338079
timing__setup__ws__corner:nom_slow_1p08V_125C,8.574250885319621
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.649219
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.396914
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,26
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26463137985515806
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2645690963417151
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3187715737156468
timing__setup__ws__corner:nom_typ_1p20V_25C,9.746504323930225
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.318772
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.782398
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,26
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26248814975665574
clock__skew__worst_setup,0.26256159101181176
timing__hold__ws,0.12381812592349742
timing__setup__ws,8.574250885319621
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123818
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.396914
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,3203
design__instance__area__stdcell,51126.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.850554
design__instance__utilization__stdcell,0.850554
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,104
design__instance__area__class:inverter,566.093
design__instance__count__class:sequential_cell,382
design__instance__area__class:sequential_cell,18713.7
design__instance__count__class:multi_input_combinational_cell,1791
design__instance__area__class:multi_input_combinational_cell,18967.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,15268.3
design__instance__displacement__mean,4.766
design__instance__displacement__max,151.62
route__wirelength__estimated,101173
design__violations,0
design__instance__count__class:timing_repair_buffer,871
design__instance__area__class:timing_repair_buffer,11791.8
design__instance__count__class:clock_buffer,34
design__instance__area__class:clock_buffer,910.829
design__instance__count__class:clock_inverter,20
design__instance__area__class:clock_inverter,168.739
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,603
global_route__vias,22683
global_route__wirelength,164620
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3200
route__net__special,2
route__drc_errors__iter:0,1271
route__wirelength__iter:0,111637
route__drc_errors__iter:1,651
route__wirelength__iter:1,110925
route__drc_errors__iter:2,590
route__wirelength__iter:2,110736
route__drc_errors__iter:3,134
route__wirelength__iter:3,110480
route__drc_errors__iter:4,0
route__wirelength__iter:4,110488
route__drc_errors,0
route__wirelength,110488
route__vias,22156
route__vias__singlecut,22156
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,344.165
design__instance__count__class:fill_cell,1708
design__instance__area__class:fill_cell,8983.09
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,36
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,36
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,36
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,36
