Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,18002
design__instance__area,193261
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,72
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0034502102062106133
power__switching__total,0.0007284028106369078
power__leakage__total,0.000003663970574052655
power__total,0.0041822767816483974
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.32611214651746895
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.32733888748322315
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11110657153239314
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.564586282594622
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.111107
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,72
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3216211554779682
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.31742279148045915
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6096326949143679
timing__setup__ws__corner:nom_slow_1p08V_125C,8.404154054995344
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.609633
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,8.404154
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,72
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.322529651004713
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.32223552516159576
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2894302102129641
timing__setup__ws__corner:nom_typ_1p20V_25C,12.357756945305638
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.289430
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,12.657295
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,72
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3216211554779682
clock__skew__worst_setup,0.31742279148045915
timing__hold__ws,0.11110657153239314
timing__setup__ws,8.404154054995344
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111107
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.404154
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 636.96 313.74
design__core__bbox,2.88 3.78 634.08 309.96
design__io,45
design__die__area,199840
design__core__area,193261
design__instance__count__stdcell,11397
design__instance__area__stdcell,155984
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.807116
design__instance__utilization__stdcell,0.807116
design__rows,81
design__rows:CoreSite,81
design__sites,106515
design__sites:CoreSite,106515
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,959
design__instance__area__class:inverter,5220.03
design__instance__count__class:sequential_cell,1053
design__instance__area__class:sequential_cell,51585.2
design__instance__count__class:multi_input_combinational_cell,6511
design__instance__area__class:multi_input_combinational_cell,62745.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,23048.6
design__instance__displacement__mean,2.022
design__instance__displacement__max,61.86
route__wirelength__estimated,343352
design__violations,0
design__instance__count__class:timing_repair_buffer,2727
design__instance__area__class:timing_repair_buffer,33662.6
design__instance__count__class:clock_buffer,104
design__instance__area__class:clock_buffer,2474.84
design__instance__count__class:clock_inverter,37
design__instance__area__class:clock_inverter,255.83
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1529
global_route__vias,13
global_route__wirelength,577152
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
route__net,11363
route__net__special,2
route__drc_errors__iter:0,6
route__wirelength__iter:0,402107
route__drc_errors__iter:1,0
route__wirelength__iter:1,402102
route__drc_errors__iter:2,2595
route__wirelength__iter:2,402424
route__drc_errors__iter:3,77
route__wirelength__iter:3,402113
route__drc_errors__iter:4,2
route__wirelength__iter:4,402110
route__drc_errors__iter:5,2
route__wirelength__iter:5,402110
route__drc_errors__iter:6,0
route__wirelength__iter:6,402110
route__drc_errors,0
route__wirelength,402102
route__vias,75362
route__vias__singlecut,75362
route__vias__multicut,0
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,10.8864
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,1300.29
design__instance__count__class:fill_cell,6605
design__instance__area__class:fill_cell,37276.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,62
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,62
