Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,120
design__inferred_latch__count,0
design__instance__count,11608
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,53
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002189953112974763
power__switching__total,0.0005186399212107062
power__leakage__total,0.0000023578384116262896
power__total,0.00271095079369843
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26878636188675303
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2682204811950974
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.0694592181209719
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.222071478602837
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.069459
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.621608
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,53
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2803831413073032
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2803831413073032
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5161327622493963
timing__setup__ws__corner:nom_slow_1p08V_125C,6.138831838843574
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.516133
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.138832
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,53
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26832184456011243
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26917391300003474
timing__hold__ws__corner:nom_typ_1p20V_25C,0.23146346605642887
timing__setup__ws__corner:nom_typ_1p20V_25C,9.384893128263293
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.231463
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.276014
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,53
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26832184456011243
clock__skew__worst_setup,0.2682204811950974
timing__hold__ws,0.0694592181209719
timing__setup__ws,6.138831838843574
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.069459
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.138832
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,7597
design__instance__area__stdcell,103824
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.819541
design__instance__utilization__stdcell,0.819541
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,341
design__instance__area__class:inverter,1856.13
design__instance__count__class:sequential_cell,723
design__instance__area__class:sequential_cell,35418.9
design__instance__count__class:multi_input_combinational_cell,4817
design__instance__area__class:multi_input_combinational_cell,45202.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,49628.7
design__instance__displacement__mean,6.532
design__instance__displacement__max,271.44
route__wirelength__estimated,327331
design__violations,0
design__instance__count__class:timing_repair_buffer,1609
design__instance__area__class:timing_repair_buffer,19152.8
design__instance__count__class:clock_buffer,75
design__instance__area__class:clock_buffer,1965
design__instance__count__class:clock_inverter,28
design__instance__area__class:clock_inverter,199.584
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,824
global_route__vias,57475
global_route__wirelength,499773
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,7575
route__net__special,2
route__drc_errors__iter:0,4087
route__wirelength__iter:0,370459
route__drc_errors__iter:1,2245
route__wirelength__iter:1,368634
route__drc_errors__iter:2,2228
route__wirelength__iter:2,367886
route__drc_errors__iter:3,78
route__wirelength__iter:3,367155
route__drc_errors__iter:4,0
route__wirelength__iter:4,367145
route__drc_errors,0
route__wirelength,367145
route__vias,57096
route__vias__singlecut,57096
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,730.475
design__instance__count__class:fill_cell,4011
design__instance__area__class:fill_cell,22861.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,56
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,56
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,56
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,56
