Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,2220
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0006061445455998182
power__switching__total,0.00013075947936158627
power__leakage__total,0.0000014714526059833588
power__total,0.0007383754709735513
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.017856105988110178
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,-0.017113810852852258
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.6301981337372473
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.3733443659899154
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.630198
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,1.373344
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.038323123537072956
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,-0.03680544861948759
timing__hold__ws__corner:nom_slow_1p08V_125C,1.4479629016745383
timing__setup__ws__corner:nom_slow_1p08V_125C,0.11000223265856567
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,1.517102
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,0.110002
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.03290418031177062
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,-0.03187145082505671
timing__hold__ws__corner:nom_typ_1p20V_25C,0.9242646909433221
timing__setup__ws__corner:nom_typ_1p20V_25C,1.2280474762465001
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.952370
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,1.228047
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.017856105988110178
clock__skew__worst_setup,-0.03680544861948759
timing__hold__ws,0.6301981337372473
timing__setup__ws,0.11000223265856567
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.630198
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.110002
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,266
design__instance__area__stdcell,6183.48
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.213654
design__instance__utilization__stdcell,0.213654
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,23
design__instance__area__class:buffer,326.592
design__instance__count__class:inverter,5
design__instance__area__class:inverter,29.0304
design__instance__count__class:sequential_cell,67
design__instance__area__class:sequential_cell,3320.35
design__instance__count__class:multi_input_combinational_cell,114
design__instance__area__class:multi_input_combinational_cell,1355.36
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,35.025
design__instance__displacement__mean,0.131
design__instance__displacement__max,11.34
route__wirelength__estimated,7194.27
design__violations,0
design__instance__count__class:timing_repair_buffer,36
design__instance__area__class:timing_repair_buffer,277.603
design__instance__count__class:clock_buffer,19
design__instance__area__class:clock_buffer,861.84
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,12.7008
flow__warnings__count:CTS-0041,3
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
global_route__vias,1704
global_route__wirelength,11721
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,288
route__net__special,2
route__drc_errors__iter:0,44
route__wirelength__iter:0,7741
route__drc_errors__iter:1,7
route__wirelength__iter:1,7684
route__drc_errors__iter:2,2
route__wirelength__iter:2,7689
route__drc_errors__iter:3,0
route__wirelength__iter:3,7691
route__drc_errors,0
route__wirelength,7691
route__vias,1624
route__vias__singlecut,1624
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,189.215
design__instance__count__class:fill_cell,1954
design__instance__area__class:fill_cell,22758
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,15
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,15
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,15
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
