Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,5293
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.014104482717812061
power__switching__total,0.0179747324436903
power__leakage__total,0.000002323831040484947
power__total,0.032081540673971176
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25632918735336035
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2556537276460751
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11400383737497084
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.5682420250735
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114004
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,13.568242
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.257750855732176
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2560521034341531
timing__hold__ws__corner:nom_slow_1p08V_125C,0.622877989039656
timing__setup__ws__corner:nom_slow_1p08V_125C,-1.9889566112617252
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-2.5328824199398725
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-1.9889566112617252
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.622878
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,2
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-1.988957
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,2
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25686964393703304
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2551801342459515
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3028710701295708
timing__setup__ws__corner:nom_typ_1p20V_25C,7.797195998445243
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302871
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,7.797196
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25632918735336035
clock__skew__worst_setup,0.2551801342459515
timing__hold__ws,0.11400383737497084
timing__setup__ws,-1.9889566112617252
timing__hold__tns,0.0
timing__setup__tns,-2.5328824199398725
timing__hold__wns,0
timing__setup__wns,-1.9889566112617252
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114004
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2
timing__setup_r2r__ws,-1.988957
timing__setup_r2r_vio__count,2
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,1879
design__instance__area__stdcell,26495.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.440792
design__instance__utilization__stdcell,0.440792
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,72
design__instance__area__class:inverter,391.91
design__instance__count__class:sequential_cell,138
design__instance__area__class:sequential_cell,6760.45
design__instance__count__class:multi_input_combinational_cell,1269
design__instance__area__class:multi_input_combinational_cell,13207
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2640.86
design__instance__displacement__mean,1.405
design__instance__displacement__max,27.42
route__wirelength__estimated,44508.1
design__violations,0
design__instance__count__class:timing_repair_buffer,340
design__instance__area__class:timing_repair_buffer,4200.34
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,54.432
design__instance__count__setup_buffer,5
design__instance__count__hold_buffer,190
global_route__vias,11781
global_route__wirelength,75571
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1888
route__net__special,2
route__drc_errors__iter:0,579
route__wirelength__iter:0,49192
route__drc_errors__iter:1,260
route__wirelength__iter:1,48751
route__drc_errors__iter:2,219
route__wirelength__iter:2,48586
route__drc_errors__iter:3,1
route__wirelength__iter:3,48510
route__drc_errors__iter:4,1
route__wirelength__iter:4,48510
route__drc_errors__iter:5,0
route__wirelength__iter:5,48511
route__drc_errors,0
route__wirelength,48511
route__vias,12041
route__vias__singlecut,12041
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,377.99
design__instance__count__class:fill_cell,3414
design__instance__area__class:fill_cell,33613.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,24
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,24
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,24
