Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,2503
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,14
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0008410850423388183
power__switching__total,0.000380063836928457
power__leakage__total,4.0161160086427117E-7
power__total,0.0012215505121275783
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.33247378013964163
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.307521100621847
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11398882160813811
timing__setup__ws__corner:nom_fast_1p32V_m40C,3.0772931740488914
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.113989
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.166804
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,14
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.4376344965843433
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3773106101019862
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6483880282871513
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.8270397933919301
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-41.3061809781265
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.8270397933919301
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.648388
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,90
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,5.931756
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,14
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3746627003577916
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3351949646055339
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30293546306682023
timing__setup__ws__corner:nom_typ_1p20V_25C,1.6335067094665057
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302935
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,7.331620
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.33247378013964163
clock__skew__worst_setup,0.307521100621847
timing__hold__ws,0.11398882160813811
timing__setup__ws,-0.8270397933919301
timing__hold__tns,0.0
timing__setup__tns,-41.3061809781265
timing__hold__wns,0
timing__setup__wns,-0.8270397933919301
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113989
timing__hold_r2r_vio__count,0
timing__setup_vio__count,90
timing__setup_r2r__ws,5.931756
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1979
design__instance__area__stdcell,26911.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.929848
design__instance__utilization__stdcell,0.929848
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:inverter,55
design__instance__area__class:inverter,299.376
design__instance__count__class:sequential_cell,201
design__instance__area__class:sequential_cell,9846.75
design__instance__count__class:multi_input_combinational_cell,1150
design__instance__area__class:multi_input_combinational_cell,10572.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,17594.1
design__instance__displacement__mean,8.89
design__instance__displacement__max,150.12
route__wirelength__estimated,57159.4
design__violations,0
design__instance__count__class:timing_repair_buffer,345
design__instance__area__class:timing_repair_buffer,4390.85
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,651.37
design__instance__count__class:clock_inverter,205
design__instance__area__class:clock_inverter,1150.33
flow__warnings__count:CTS-0041,196
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,208
global_route__vias,12607
global_route__wirelength,90806
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1986
route__net__special,2
route__drc_errors__iter:0,732
route__wirelength__iter:0,62937
route__drc_errors__iter:1,472
route__wirelength__iter:1,62640
route__drc_errors__iter:2,376
route__wirelength__iter:2,62510
route__drc_errors__iter:3,15
route__wirelength__iter:3,62332
route__drc_errors__iter:4,2
route__wirelength__iter:4,62344
route__drc_errors__iter:5,2
route__wirelength__iter:5,62344
route__drc_errors__iter:6,0
route__wirelength__iter:6,62343
route__drc_errors,0
route__wirelength,62343
route__vias,12576
route__vias__singlecut,12576
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,331.16
design__instance__count__class:fill_cell,524
design__instance__area__class:fill_cell,2030.31
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
