Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2139
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,18
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00016688070900272578
power__switching__total,0.00002781687544484157
power__leakage__total,3.38856523285358E-7
power__total,0.0001950364385265857
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.061339580984055085
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.06294585170151121
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.08257489370446906
timing__setup__ws__corner:nom_fast_1p32V_m40C,79.09645429172821
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.082575
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,97.330437
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,18
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.06611333195813704
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.06643957100314982
timing__hold__ws__corner:nom_slow_1p08V_125C,0.2669675112096446
timing__setup__ws__corner:nom_slow_1p08V_125C,77.80424702507405
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.266968
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,93.567261
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,18
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.06240016319168701
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.06275998648414452
timing__hold__ws__corner:nom_typ_1p20V_25C,0.15113283274856035
timing__setup__ws__corner:nom_typ_1p20V_25C,78.61057094441901
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.151133
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,95.911331
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,18
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.061339580984055085
clock__skew__worst_setup,0.06275998648414452
timing__hold__ws,0.08257489370446906
timing__setup__ws,77.80424702507405
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.082575
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,93.567261
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1672
design__instance__area__stdcell,27357.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.94527
design__instance__utilization__stdcell,0.94527
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,99
design__instance__area__class:inverter,538.877
design__instance__count__class:sequential_cell,262
design__instance__area__class:sequential_cell,12835.1
design__instance__count__class:multi_input_combinational_cell,1115
design__instance__area__class:multi_input_combinational_cell,12005.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GPL-1015,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,54305.2
design__violations,0
design__instance__count__class:timing_repair_buffer,155
design__instance__area__class:timing_repair_buffer,1124.93
design__instance__count__class:clock_buffer,26
design__instance__area__class:clock_buffer,722.131
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,101.606
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,12884
global_route__wirelength,90712
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1677
route__net__special,2
route__drc_errors__iter:0,783
route__wirelength__iter:0,62117
route__drc_errors__iter:1,410
route__wirelength__iter:1,61596
route__drc_errors__iter:2,378
route__wirelength__iter:2,61540
route__drc_errors__iter:3,36
route__wirelength__iter:3,61316
route__drc_errors__iter:4,0
route__wirelength__iter:4,61318
route__drc_errors,0
route__wirelength,61318
route__vias,12760
route__vias__singlecut,12760
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,278.715
design__instance__count__class:fill_cell,467
design__instance__area__class:fill_cell,1583.97
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,28
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,28
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,28
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
