Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2813
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00026622487348504364
power__switching__total,0.00011040152458008379
power__leakage__total,0.000001103669092117343
power__total,0.00037773005897179246
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2597547250815709
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2593803578670794
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1298084176890063
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.757464556961605
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.129808
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.258987144616212
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.25862990259235974
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6696092758692241
timing__setup__ws__corner:nom_slow_1p08V_125C,9.340358084683151
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.669609
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25948066652019125
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2591143206672796
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3279679953779194
timing__setup__ws__corner:nom_typ_1p20V_25C,10.222246449756467
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.327968
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.258987144616212
clock__skew__worst_setup,0.25862990259235974
timing__hold__ws,0.1298084176890063
timing__setup__ws,9.340358084683151
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.129808
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1007
design__instance__area__stdcell,12287.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.42455
design__instance__utilization__stdcell,0.42455
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,29
design__instance__area__class:inverter,157.853
design__instance__count__class:sequential_cell,47
design__instance__area__class:sequential_cell,2302.47
design__instance__count__class:multi_input_combinational_cell,784
design__instance__area__class:multi_input_combinational_cell,7974.29
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,389.096
design__instance__displacement__mean,0.386
design__instance__displacement__max,7.62
route__wirelength__estimated,22067.3
design__violations,0
design__instance__count__class:timing_repair_buffer,133
design__instance__area__class:timing_repair_buffer,1409.79
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,408.24
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,5.4432
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,49
global_route__vias,6191
global_route__wirelength,37332
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1025
route__net__special,2
route__drc_errors__iter:0,211
route__wirelength__iter:0,24411
route__drc_errors__iter:1,130
route__wirelength__iter:1,24277
route__drc_errors__iter:2,113
route__wirelength__iter:2,24210
route__drc_errors__iter:3,1
route__wirelength__iter:3,24174
route__drc_errors__iter:4,0
route__wirelength__iter:4,24178
route__drc_errors,0
route__wirelength,24178
route__vias,6195
route__vias__singlecut,6195
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,254.04
design__instance__count__class:fill_cell,1806
design__instance__area__class:fill_cell,16654.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,1
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,1
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,1
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
