Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2171
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,16
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001061144401319325
power__switching__total,0.00044761993922293186
power__leakage__total,4.080450253240997E-7
power__total,0.0015091723762452602
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25957672857011377
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2611896328703296
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.0059561524065361495
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.178971287300303
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.005956
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.488972
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,16
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26328440173243645
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2640260307338608
timing__hold__ws__corner:nom_slow_1p08V_125C,0.35449394423282976
timing__setup__ws__corner:nom_slow_1p08V_125C,11.853841799209722
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.354494
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.271782
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,16
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26062827633762725
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2623172309171808
timing__hold__ws__corner:nom_typ_1p20V_25C,0.13066498253230555
timing__setup__ws__corner:nom_typ_1p20V_25C,13.294133281611742
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.130665
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.305864
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,16
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25957672857011377
clock__skew__worst_setup,0.2611896328703296
timing__hold__ws,0.0059561524065361495
timing__setup__ws,11.853841799209722
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.005956
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.271782
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1659
design__instance__area__stdcell,27105.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.936556
design__instance__utilization__stdcell,0.936556
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,63
design__instance__area__class:inverter,342.922
design__instance__count__class:sequential_cell,225
design__instance__area__class:sequential_cell,11022.5
design__instance__count__class:multi_input_combinational_cell,945
design__instance__area__class:multi_input_combinational_cell,10084.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,12774.2
design__instance__displacement__mean,7.699
design__instance__displacement__max,120.42
route__wirelength__estimated,55008.8
design__violations,0
design__instance__count__class:timing_repair_buffer,390
design__instance__area__class:timing_repair_buffer,4898.88
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,651.37
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,83.4624
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,228
global_route__vias,12797
global_route__wirelength,91123
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1666
route__net__special,2
route__drc_errors__iter:0,857
route__wirelength__iter:0,62041
route__drc_errors__iter:1,436
route__wirelength__iter:1,61649
route__drc_errors__iter:2,473
route__wirelength__iter:2,61499
route__drc_errors__iter:3,25
route__wirelength__iter:3,61317
route__drc_errors__iter:4,2
route__wirelength__iter:4,61319
route__drc_errors__iter:5,2
route__wirelength__iter:5,61319
route__drc_errors__iter:6,0
route__wirelength__iter:6,61319
route__drc_errors,0
route__wirelength,61319
route__vias,12431
route__vias__singlecut,12431
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,339.295
design__instance__count__class:fill_cell,512
design__instance__area__class:fill_cell,1836.17
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,14
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,14
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
