Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,22537
design__instance__area,259837
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,50
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0019831019453704357
power__switching__total,0.00043752603232860565
power__leakage__total,0.000010694400771171786
power__total,0.002431322354823351
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.28305972256191964
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2947745186933252
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.13143358995399124
timing__setup__ws__corner:nom_fast_1p32V_m40C,12.281314091095355
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.131434
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,21.873245
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,50
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28504202582845123
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.29190148346894523
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6622674263108875
timing__setup__ws__corner:nom_slow_1p08V_125C,8.685670206686895
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.662267
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,17.732983
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,50
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2829628556002815
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2927553005101808
timing__hold__ws__corner:nom_typ_1p20V_25C,0.32209852363648234
timing__setup__ws__corner:nom_typ_1p20V_25C,10.947858929285342
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.322099
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,20.342253
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,50
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2829628556002815
clock__skew__worst_setup,0.29190148346894523
timing__hold__ws,0.13143358995399124
timing__setup__ws,8.685670206686895
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.131434
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.732983
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 854.4 313.74
design__core__bbox,2.88 3.78 851.52 309.96
design__io,45
design__die__area,268059
design__core__area,259837
design__instance__count__stdcell,6592
design__instance__area__stdcell,98757.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.380077
design__instance__utilization__stdcell,0.380077
design__rows,81
design__rows:CoreSite,81
design__sites,143208
design__sites:CoreSite,143208
design__instance__count__class:buffer,11
design__instance__area__class:buffer,79.8336
design__instance__count__class:inverter,96
design__instance__area__class:inverter,522.547
design__instance__count__class:sequential_cell,763
design__instance__area__class:sequential_cell,37378.5
design__instance__count__class:multi_input_combinational_cell,4205
design__instance__area__class:multi_input_combinational_cell,40673.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,5364.18
design__instance__displacement__mean,0.813
design__instance__displacement__max,12.84
route__wirelength__estimated,187118
design__violations,0
design__instance__count__class:timing_repair_buffer,1416
design__instance__area__class:timing_repair_buffer,18015.2
design__instance__count__class:clock_buffer,70
design__instance__area__class:clock_buffer,1847.06
design__instance__count__class:clock_inverter,31
design__instance__area__class:clock_inverter,241.315
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,853
global_route__vias,40180
global_route__wirelength,308282
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,6571
route__net__special,2
route__drc_errors__iter:0,1878
route__wirelength__iter:0,218952
route__drc_errors__iter:1,679
route__wirelength__iter:1,218050
route__drc_errors__iter:2,565
route__wirelength__iter:2,217823
route__drc_errors__iter:3,3
route__wirelength__iter:3,217559
route__drc_errors__iter:4,0
route__wirelength__iter:4,217555
route__drc_errors,0
route__wirelength,217555
route__vias,39121
route__vias__singlecut,39121
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,849.03
design__instance__count__class:fill_cell,15945
design__instance__area__class:fill_cell,161079
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,40
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,40
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,40
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,40
timing__unannotated_net_filtered__count,0
