Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,4489
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,30
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00013965168909635395
power__switching__total,0.00002175154077121988
power__leakage__total,0.000001134878857556032
power__total,0.00016253811190836132
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2712861123641212
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.27228564618145995
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11741852267280872
timing__setup__ws__corner:nom_fast_1p32V_m40C,158.7301073285935
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.117419
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,197.288406
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,30
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2809323686531185
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2788037934989557
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6549795891042265
timing__setup__ws__corner:nom_slow_1p08V_125C,157.19833346637506
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.654980
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,193.805481
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,30
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27219854918271486
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27268116314516866
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3177898034672044
timing__setup__ws__corner:nom_typ_1p20V_25C,158.15434032266856
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.317790
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,196.036102
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,30
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2712861123641212
clock__skew__worst_setup,0.27228564618145995
timing__hold__ws,0.11741852267280872
timing__setup__ws,157.19833346637506
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117419
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,193.805481
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2711
design__instance__area__stdcell,49959.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.831145
design__instance__utilization__stdcell,0.831145
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,95
design__instance__area__class:inverter,517.104
design__instance__count__class:sequential_cell,451
design__instance__area__class:sequential_cell,22093.9
design__instance__count__class:multi_input_combinational_cell,1280
design__instance__area__class:multi_input_combinational_cell,14885.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,8352.2
design__instance__displacement__mean,3.08
design__instance__displacement__max,102.72
route__wirelength__estimated,89204.6
design__violations,0
design__instance__count__class:timing_repair_buffer,826
design__instance__area__class:timing_repair_buffer,11129.5
design__instance__count__class:clock_buffer,44
design__instance__area__class:clock_buffer,1233.79
design__instance__count__class:clock_inverter,13
design__instance__area__class:clock_inverter,85.2768
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,566
global_route__vias,19307
global_route__wirelength,145821
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2713
route__net__special,2
route__drc_errors__iter:0,1076
route__wirelength__iter:0,99830
route__drc_errors__iter:1,436
route__wirelength__iter:1,99349
route__drc_errors__iter:2,432
route__wirelength__iter:2,99317
route__drc_errors__iter:3,9
route__wirelength__iter:3,99202
route__drc_errors__iter:4,0
route__wirelength__iter:4,99205
route__drc_errors,0
route__wirelength,99205
route__vias,18914
route__vias__singlecut,18914
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,548.305
design__instance__count__class:fill_cell,1778
design__instance__area__class:fill_cell,10149.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,25
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,25
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,25
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,25
