Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,2026
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,15
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0014249593950808048
power__switching__total,0.00043951571569778025
power__leakage__total,6.168256732053123E-7
power__total,0.0018650918500497937
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25408656453576745
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25388672438568305
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1544237559312279
timing__setup__ws__corner:nom_fast_1p32V_m40C,7.605487122023173
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.154424
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,15
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2572915009427459
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2575534025616621
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7433582848563688
timing__setup__ws__corner:nom_slow_1p08V_125C,1.6248132188486122
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.743358
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,15
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2553066996743383
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25463792906096555
timing__hold__ws__corner:nom_typ_1p20V_25C,0.369523644364913
timing__setup__ws__corner:nom_typ_1p20V_25C,5.390291920940128
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.369524
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25408656453576745
clock__skew__worst_setup,0.25388672438568305
timing__hold__ws,0.1544237559312279
timing__setup__ws,1.6248132188486122
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.154424
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1141
design__instance__area__stdcell,23071.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.797191
design__instance__utilization__stdcell,0.797191
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,30
design__instance__area__class:inverter,163.296
design__instance__count__class:sequential_cell,204
design__instance__area__class:sequential_cell,9993.72
design__instance__count__class:multi_input_combinational_cell,513
design__instance__area__class:multi_input_combinational_cell,7121.52
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,2949.16
design__instance__displacement__mean,2.584
design__instance__displacement__max,30.72
route__wirelength__estimated,26539.3
design__violations,0
design__instance__count__class:timing_repair_buffer,359
design__instance__area__class:timing_repair_buffer,5073.06
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,627.782
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,63.504
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,272
global_route__vias,7782
global_route__wirelength,48319
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1149
route__net__special,2
route__drc_errors__iter:0,230
route__wirelength__iter:0,29288
route__drc_errors__iter:1,27
route__wirelength__iter:1,29074
route__drc_errors__iter:2,30
route__wirelength__iter:2,29075
route__drc_errors__iter:3,0
route__wirelength__iter:3,29064
route__drc_errors,0
route__wirelength,29064
route__vias,6995
route__vias__singlecut,6995
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,316.88
design__instance__count__class:fill_cell,885
design__instance__area__class:fill_cell,5869.58
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
