Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,6119
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00035282495082356036
power__switching__total,0.00010970239964080974
power__leakage__total,0.0000015302160818464472
power__total,0.00046405757893808186
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.28214159585016385
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.29009595546850914
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12629425640534866
timing__setup__ws__corner:nom_fast_1p32V_m40C,24.116693324972612
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.126294
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,29.909668
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2758045259131057
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2839270843244387
timing__hold__ws__corner:nom_slow_1p08V_125C,0.650846395200106
timing__setup__ws__corner:nom_slow_1p08V_125C,13.596521626756553
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.650846
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.273283
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.28093128618563884
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2887069831586934
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31344711047241214
timing__setup__ws__corner:nom_typ_1p20V_25C,20.22278934883086
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.313447
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,24.847347
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2758045259131057
clock__skew__worst_setup,0.2839270843244387
timing__hold__ws,0.12629425640534866
timing__setup__ws,13.596521626756553
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.126294
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.273283
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,3425
design__instance__area__stdcell,40678.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.676748
design__instance__utilization__stdcell,0.676748
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,136
design__instance__area__class:inverter,740.275
design__instance__count__class:sequential_cell,125
design__instance__area__class:sequential_cell,6123.6
design__instance__count__class:multi_input_combinational_cell,2761
design__instance__area__class:multi_input_combinational_cell,28179.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,3921.55
design__instance__displacement__mean,1.144
design__instance__displacement__max,59.1
route__wirelength__estimated,97242
design__violations,0
design__instance__count__class:timing_repair_buffer,349
design__instance__area__class:timing_repair_buffer,3730.41
design__instance__count__class:clock_buffer,49
design__instance__area__class:clock_buffer,1874.28
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,16.3296
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,132
global_route__vias,24658
global_route__wirelength,163058
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3441
route__net__special,2
route__drc_errors__iter:0,1890
route__wirelength__iter:0,108640
route__drc_errors__iter:1,924
route__wirelength__iter:1,107620
route__drc_errors__iter:2,1007
route__wirelength__iter:2,107459
route__drc_errors__iter:3,9
route__wirelength__iter:3,107073
route__drc_errors__iter:4,2
route__wirelength__iter:4,107072
route__drc_errors__iter:5,2
route__wirelength__iter:5,107072
route__drc_errors__iter:6,0
route__wirelength__iter:6,107075
route__drc_errors,0
route__wirelength,107075
route__vias,25216
route__vias__singlecut,25216
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,517.155
design__instance__count__class:fill_cell,2694
design__instance__area__class:fill_cell,19430.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,12
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,12
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,12
